	phenotype	taxonomy rank level	NCBI taxon id 1	NCBI taxon id 2	pvalue Pearson	correlation coefficient Pearson	pvalue Spearman	correlation coefficient Spearman	nr. co-occurred samples	nr. samples of taxon1 only	nr. samples of taxon2 only	nr. samples of none	Odds ratio (OR) Fisher test	pvalue Fisher test	OR confidence lower	OR confidence upper	scientific name taxon1	scientific name taxon2
1264	D006262	species	853	291644	0.025462771	-0.027433946	4.18e-25	-0.126595449	735	5549	349	5852	2.220889308	5.24e-34	1.94201076	2.543392889	Faecalibacterium prausnitzii	Bacteroides salyersiae
1265	D006262	species	853	291645	4.3e-06	-0.055951038	6.41e-167	-0.326230719	608	5676	457	5744	1.346315866	4.48e-06	1.183852152	1.531844267	Faecalibacterium prausnitzii	Bacteroides nordii
1266	D006262	species	853	301301	7.3e-15	-0.082032651	2.29e-194	-0.306555458	2923	3361	2681	3520	1.141827556	0.000241539	1.063370933	1.226127312	Faecalibacterium prausnitzii	Roseburia hominis
1267	D006262	species	853	308994	6.02e-05	-0.050537459	4.16e-39	-0.16377752	466	5818	13	6188	38.07961401	3.0100000000000003e-122	22.03658229	72.20423049	Faecalibacterium prausnitzii	Dialister propionicifaciens
1268	D006262	species	853	310298	1.61e-14	-0.089047623	3.37e-201	-0.341064693	1800	4484	1125	5076	1.811181623	7.64e-44	1.662862155	1.973210709	Faecalibacterium prausnitzii	Bacteroides coprocola
1269	D006262	species	853	328812	4.5e-05	-0.050271887	2.14e-40	-0.162955795	573	5711	297	5904	1.994367508	1.1700000000000001e-21	1.722239218	2.313181084	Faecalibacterium prausnitzii	Parabacteroides goldsteinii
1270	D006262	species	853	328814	0.012399749	-0.027961247	0.034763968	-0.02360761	4125	2159	1713	4488	5.005007866	0.0	4.634892425	5.406414873	Faecalibacterium prausnitzii	Alistipes shahii
1271	D006262	species	853	333367	0.000200025	-0.046771666	0.022166906	-0.028778388	221	6063	34	6167	6.610542612	5.950000000000001e-35	4.582577002	9.806497341	Faecalibacterium prausnitzii	[Clostridium] asparagiforme
1272	D006262	species	853	363265	0.000992137	0.041517931	3.01e-09	0.074708357	329	5955	3	6198	114.110649	8.289999999999999e-95	38.68015971	555.1477409	Faecalibacterium prausnitzii	Prevotella stercorea
1273	D006262	species	853	387090	2.01e-09	-0.073847812	9.53e-116	-0.276461837	468	5816	296	5905	1.605202807	4.94e-10	1.378380202	1.871543002	Faecalibacterium prausnitzii	Bacteroides coprophilus
1274	D006262	species	853	425254	0.012894124	-0.03133024	3.26e-17	-0.10602577	41	6243	15	6186	2.708335989	0.000677263	1.46580117	5.272142314	Faecalibacterium prausnitzii	Cellulosilyticum ruminicola
1275	D006262	species	853	446660	1.49e-34	0.153560067	4.460000000000001e-43	0.172080502	505	5779	17	6184	31.79514061	3.7800000000000004e-129	19.61318999	55.01932232	Faecalibacterium prausnitzii	Adlercreutzia equolifaciens
1276	D006262	species	853	469610	3.88e-07	0.063903546	5.68e-09	0.073337655	846	5438	12	6189	80.18935831	6.609999999999999e-243	45.66115358	155.8921654	Faecalibacterium prausnitzii	Burkholderiales bacterium 1_1_47
1277	D006262	species	853	471189	0.000106723	-0.048628803	1.65e-36	-0.157481748	180	6104	60	6141	3.018044835	4.11e-15	2.23635375	4.121381448	Faecalibacterium prausnitzii	Gordonibacter pamelaeae
1278	D006262	species	853	480930	0.02094839	-0.029116934	1.73e-05	-0.05415799	25	6259	4	6197	6.187258363	0.000102922	2.134680248	24.47681071	Faecalibacterium prausnitzii	Lactobacillus odoratitofui
1279	D006262	species	853	504487	0.000190607	-0.046924501	5.39e-17	-0.105128816	63	6221	34	6167	1.836759174	0.004160116	1.189930594	2.879708799	Faecalibacterium prausnitzii	Jejuia pallidilutea
1280	D006262	species	853	520083	0.000197222	-0.046816437	3.5500000000000003e-37	-0.159284779	153	6131	34	6167	4.525667554	3.79e-19	3.098570128	6.783656619	Faecalibacterium prausnitzii	Lactobacillus sp. KLDS 1.0716
1281	D006262	species	853	626940	1.95e-25	0.130848045	4.2400000000000004e-35	0.154911563	622	5662	9	6192	75.54133283	8.259999999999999e-176	39.47984299	165.7018824	Faecalibacterium prausnitzii	Phascolarctobacterium succinatutens
1282	D006262	species	853	633701	1.18e-10	-0.079569915	2.19e-155	-0.319894792	352	5932	251	5950	1.406600363	5.04e-05	1.18803203	1.667358627	Faecalibacterium prausnitzii	Prevotella saccharolytica
1283	D006262	species	853	658081	8.4e-06	0.056037646	3.31e-31	0.145493358	839	5445	28	6173	33.96591705	8.96e-219	23.28862521	51.41967904	Faecalibacterium prausnitzii	Lachnospiraceae bacterium 1_1_57FAA
1284	D006262	species	853	658086	0.00126529	-0.040577631	1.6600000000000001e-21	-0.119502475	151	6133	25	6176	6.0814789	2.68e-23	3.958584953	9.710810734	Faecalibacterium prausnitzii	Lachnospiraceae bacterium 3_1_57FAA_CT1
1285	D006262	species	853	665956	7.85e-07	-0.062198304	1.72e-07	-0.065813707	242	6042	12	6189	20.65655206	4.3100000000000003e-57	11.59580554	40.57796116	Faecalibacterium prausnitzii	Subdoligranulum sp. 4_3_54A2FAA
1286	D006262	species	853	691816	0.003633005	-0.036616847	1.26e-18	-0.110602685	102	6182	23	6178	4.431194307	4.06e-13	2.792924321	7.313073674	Faecalibacterium prausnitzii	Bacteroides rodentium
1287	D006262	species	853	751585	2.69e-12	0.088007343	1.0699999999999999e-41	0.169342211	669	5615	8	6193	92.19428179	2.6e-192	46.472776	215.4845631	Faecalibacterium prausnitzii	Coprococcus sp. ART55/1
1288	D006262	species	853	871324	0.000162525	-0.047355339	1.1100000000000001e-29	-0.141451301	103	6181	53	6148	1.93291024	9.76e-05	1.371904186	2.751018493	Faecalibacterium prausnitzii	Bacteroides stercorirosoris
1289	D006262	species	853	908612	0.024871942	0.028290924	8.7e-05	0.049468356	113	6171	4	6197	28.36584525	7.33e-29	10.76946929	105.9995649	Faecalibacterium prausnitzii	Alistipes sp. HGB5
1290	D006262	species	853	1118060	2.34e-06	0.059511526	2.1e-09	0.075461052	127	6157	1	6200	127.8665877	5.52e-37	22.52378351	4944.178553	Faecalibacterium prausnitzii	Enorma massiliensis phI
1291	D006262	species	853	1118061	0.02012351	0.029247169	2.91e-66	0.213925781	1870	4414	30	6171	87.01617542	0.0	60.5861559	129.3308019	Faecalibacterium prausnitzii	Alistipes obesi
1292	D006262	species	853	1124188	0.030507806	-0.02728305	6.84e-05	-0.050191349	49	6235	4	6197	12.17756449	6.8e-11	4.458922467	46.4757931	Faecalibacterium prausnitzii	Flavobacterium fontis
1293	D006262	species	853	1297750	4.23e-24	-0.124465343	9.67e-212	-0.369561587	1823	4461	286	5915	8.450768302	0.0	7.409990402	9.663515399	Faecalibacterium prausnitzii	Bacteroides luti
1294	D006262	species	853	1590651	1.91e-05	-0.053886172	1.23e-16	-0.104164002	208	6076	3	6198	70.7144199	3.6600000000000005e-58	23.82649125	343.8130271	Faecalibacterium prausnitzii	Paenibacillus sp. VKM B-2647
3716	D006262	species	1506	1630	0.04892042	-0.085263843	5.8200000000000005e-21	-0.391100392	7	35	492	11951	4.856537881	0.001249297	1.811360554	11.17015378	Clostridium sp.	Kandleria vitulina
3717	D006262	species	1506	29370	0.019857492	-0.094360251	5.770000000000001e-27	-0.416603744	6	36	567	11876	3.490248248	0.011692758	1.197070151	8.409801294	Clostridium sp.	[Clostridium] sphenoides
3718	D006262	species	1506	33043	0.0001637	0.080241454	8.68e-07	-0.104605478	27	15	2160	10283	8.566721249	2.09e-11	4.389186167	17.35803466	Clostridium sp.	Coprococcus eutactus
3719	D006262	species	1506	39484	0.012693819	0.045542928	2.05e-05	-0.077764597	21	21	2952	9491	3.214724789	0.000351398	1.667941771	6.196635511	Clostridium sp.	Eubacterium desmolans
3720	D006262	species	1506	44749	8.57e-08	0.108295409	1.15e-05	0.088788625	38	4	2391	10052	39.92881985	3.72e-23	14.3523033	153.9222489	Clostridium sp.	Sporobacter termitidis
3721	D006262	species	1506	45851	0.036291284	-0.07303798	3.35e-25	-0.350716354	9	33	780	11663	4.077397231	0.001034859	1.709616988	8.747795384	Clostridium sp.	Butyrivibrio crossotus
3722	D006262	species	1506	48256	0.018881527	-0.260402981	3.2299999999999997e-24	-0.854832423	2	40	39	12404	15.88527958	0.00833735	1.79823444	65.1123238	Clostridium sp.	[Clostridium] hungatei
3723	D006262	species	1506	216940	0.032347983	-0.198013368	9.09e-21	-0.730465529	4	38	75	12368	17.33654815	0.000138453	4.386018226	50.00931596	Clostridium sp.	Spiroplasma lampyridicola
3724	D006262	species	1506	351091	0.022979971	0.033415775	1.41e-10	0.094086144	41	1	4588	7855	70.11280645	5.18e-17	11.89997634	2798.178463	Clostridium sp.	Oscillibacter valericigenes
3725	D006262	species	1506	395922	0.021026217	-0.195592612	1.78e-21	-0.696355935	6	36	97	12346	21.18892459	1.12e-06	7.131595243	52.36554593	Clostridium sp.	Coraliomargarita akajimensis
3741	D006262	species	1510	1512	4.21e-06	-0.085054225	1.5099999999999999e-170	-0.483125134	135	303	2480	9567	1.718672543	8.18e-07	1.385856418	2.122726754	[Clostridium] stercorarium	[Clostridium] symbiosum
3742	D006262	species	1510	1532	2.53e-08	-0.145362329	9.259999999999999e-230	-0.716597289	51	387	1018	11029	1.427680946	0.023456347	1.037157802	1.930649568	[Clostridium] stercorarium	Blautia coccoides
3743	D006262	species	1510	1539	0.024518626	-0.103510449	7.77e-11	-0.293572181	20	418	34	12013	16.89272504	5.56e-16	9.129967468	30.49778142	[Clostridium] stercorarium	Clostridium malenominatum
3744	D006262	species	1510	1559	0.001910697	-0.058884214	3.09e-134	-0.443670915	143	295	2338	9709	2.012930703	1.47e-10	1.628324942	2.479319767	[Clostridium] stercorarium	Clostridium tertium
3745	D006262	species	1510	1605	0.000122124	-0.160366756	4.03e-90	-0.714798912	12	426	131	11916	2.562165525	0.004487703	1.280565808	4.675810982	[Clostridium] stercorarium	Lactobacillus animalis
3746	D006262	species	1510	1623	1.51e-06	-0.146408375	8.94e-217	-0.776860865	40	398	632	11415	1.815063489	0.00109035	1.264655577	2.54455954	[Clostridium] stercorarium	Lactobacillus ruminis
3747	D006262	species	1510	1630	5.47e-06	-0.15299391	9.520000000000001e-122	-0.684058696	62	376	437	11610	4.379912637	1.34e-18	3.23763659	5.849760074	[Clostridium] stercorarium	Kandleria vitulina
3748	D006262	species	1510	1680	1.34e-06	-0.070888316	6.04e-121	-0.333486187	189	249	4203	7844	1.416476325	0.000518551	1.161783589	1.72487612	[Clostridium] stercorarium	Bifidobacterium adolescentis
3749	D006262	species	1510	1685	8.43e-08	-0.095086672	2.0899999999999997e-180	-0.478118529	143	295	2725	9322	1.65819753	2.52e-06	1.342124185	2.041335567	[Clostridium] stercorarium	Bifidobacterium breve
3750	D006262	species	1510	1735	1.44e-08	-0.108224408	1.1200000000000001e-125	-0.433795518	125	313	2292	9755	1.699637924	2.52e-06	1.363177167	2.10900913	[Clostridium] stercorarium	Holdemanella biformis
3751	D006262	species	1510	2173	0.000669006	-0.077351743	9.300000000000001e-70	-0.386319168	216	222	1493	10554	6.876064552	8.9e-75	5.630154643	8.398199911	[Clostridium] stercorarium	Methanobrevibacter smithii
3752	D006262	species	1510	2317	2.41e-05	-0.174389982	1.72e-83	-0.690928925	12	426	142	11905	2.361385055	0.011972766	1.182517014	4.298676821	[Clostridium] stercorarium	Methanosphaera stadtmanae
3753	D006262	species	1510	2741	4.5e-06	-0.191275293	2.7100000000000002e-70	-0.653292051	23	415	129	11918	5.119354374	3.02e-09	3.09983771	8.120959472	[Clostridium] stercorarium	Peptococcus niger
3754	D006262	species	1510	13689	0.008580296	-0.11898381	5.01e-29	-0.476914062	7	431	49	11998	3.976063954	0.003274522	1.510441047	8.895334288	[Clostridium] stercorarium	Sphingomonas paucimobilis
3755	D006262	species	1510	28111	1.13e-07	-0.106239497	3.07e-153	-0.494603057	135	303	2043	10004	2.181548947	3.45e-12	1.757697461	2.696576036	[Clostridium] stercorarium	Bacteroides eggerthii
3756	D006262	species	1510	28112	0.017252078	-0.107868775	5.43e-24	-0.435787677	13	425	49	11998	7.484976432	1.77e-07	3.696784621	14.14493931	[Clostridium] stercorarium	Tannerella forsythia
3757	D006262	species	1510	28116	1.13e-06	-0.051298493	1.1499999999999999e-24	-0.107790985	409	29	8559	3488	5.747256898	9.880000000000001e-31	3.931323365	8.709108423	[Clostridium] stercorarium	Bacteroides ovatus
3758	D006262	species	1510	28117	0.041943629	-0.02338552	2.47e-05	-0.048466172	413	25	7128	4919	11.40012765	3.85e-62	7.597210927	17.84711266	[Clostridium] stercorarium	Alistipes putredinis
3759	D006262	species	1510	28126	0.003965747	-0.121450932	1.72e-76	-0.677129501	10	428	123	11924	2.264893858	0.027054541	1.051970418	4.348622321	[Clostridium] stercorarium	Prevotella buccae
3760	D006262	species	1510	28127	0.021365922	-0.09309527	1.67e-86	-0.68699857	18	420	173	11874	2.941097255	0.000133984	1.686159358	4.845620953	[Clostridium] stercorarium	Prevotella buccalis
3761	D006262	species	1510	28128	0.008929386	-0.111703915	3.21e-48	-0.568859861	20	418	109	11938	5.238192565	2.15e-08	3.048565502	8.595140559	[Clostridium] stercorarium	Prevotella corporis
3762	D006262	species	1510	28129	7.34e-06	-0.170241186	3.5e-139	-0.776247954	25	413	248	11799	2.879530675	1.15e-05	1.806651743	4.412664823	[Clostridium] stercorarium	Prevotella denticola
3763	D006262	species	1510	28135	9.43e-05	-0.133923324	1.23e-187	-0.798056719	30	408	407	11640	2.102728118	0.000462951	1.3822696	3.095798979	[Clostridium] stercorarium	Prevotella oris
3764	D006262	species	1510	28446	2.29e-18	-0.22808202	3.25e-154	-0.62200843	87	351	995	11052	2.752791858	1.24e-13	2.132034746	3.524025732	[Clostridium] stercorarium	[Clostridium] propionicum
3765	D006262	species	1510	28447	2.64e-08	-0.199074253	1.08e-189	-0.822251378	21	417	330	11717	1.787931313	0.017251512	1.080356095	2.81547552	[Clostridium] stercorarium	Clavibacter michiganensis
3766	D006262	species	1510	29348	0.001405781	-0.057527222	2.89e-75	-0.322102031	220	218	2641	9406	3.593363195	6.280000000000001e-37	2.950938279	4.376682796	[Clostridium] stercorarium	[Clostridium] spiroforme
3767	D006262	species	1510	29355	0.000162167	-0.171147598	8.96e-24	-0.436317089	11	427	43	12004	7.18771213	2.14e-06	3.319271456	14.30151972	[Clostridium] stercorarium	[Clostridium] cellobioparum
3768	D006262	species	1510	29356	0.024436965	-0.084865352	4.549999999999999e-106	-0.70350641	45	393	265	11782	5.089963477	3.01e-16	3.567569367	7.127926159	[Clostridium] stercorarium	Clostridium chartatabidum
3769	D006262	species	1510	29360	0.011272178	-0.10887921	1.1799999999999999e-61	-0.631944461	10	428	103	11944	2.708847373	0.006325495	1.25250236	5.234752507	[Clostridium] stercorarium	Cellulosilyticum lentocellum
3770	D006262	species	1510	29370	6.52e-14	-0.238047469	5.4800000000000005e-177	-0.752418055	45	393	528	11519	2.497748622	5.25e-07	1.77069617	3.453566942	[Clostridium] stercorarium	[Clostridium] sphenoides
3771	D006262	species	1510	29375	1.1e-06	-0.138028359	1.12e-162	-0.671057917	84	354	799	11248	3.339924327	1.37e-17	2.572872151	4.298110827	[Clostridium] stercorarium	[Clostridium] xylanolyticum
3772	D006262	species	1510	33035	1.48e-06	-0.103399134	6.09e-146	-0.51416538	120	318	1720	10327	2.265496853	3.03e-12	1.809446909	2.821862908	[Clostridium] stercorarium	Blautia producta
3773	D006262	species	1510	33043	2.69e-05	-0.085535791	1.72e-52	-0.303811075	222	216	1965	10082	5.272373515	6.690000000000001e-59	4.324157289	6.429451631	[Clostridium] stercorarium	Coprococcus eutactus
3774	D006262	species	1510	33051	0.006432179	-0.123195972	1.1000000000000001e-29	-0.481470195	7	431	50	11997	3.896317828	0.003622885	1.481538298	8.702080083	[Clostridium] stercorarium	Sphingomonas sanguinis
3775	D006262	species	1510	33871	0.006102212	-0.127819826	1.89e-09	-0.275692348	8	430	21	12026	10.64814938	4.83e-06	4.054754245	25.20185154	[Clostridium] stercorarium	Coriobacterium glomerans
3776	D006262	species	1510	33953	0.001874588	-0.142616886	9.97e-18	-0.380341192	13	425	35	12012	10.49154383	6.43e-09	5.055921196	20.50335383	[Clostridium] stercorarium	Clostridium aminobutyricum
3777	D006262	species	1510	33970	0.002270272	-0.138863424	1.85e-25	-0.450869564	8	430	43	12004	5.192986364	0.000363975	2.095264144	11.26407392	[Clostridium] stercorarium	Melissococcus plutonius
3778	D006262	species	1510	35517	8.95e-08	-0.230322448	3.93e-53	-0.601349161	16	422	89	11958	5.093186475	7.12e-07	2.766045492	8.825732094	[Clostridium] stercorarium	[Eubacterium] brachy
3779	D006262	species	1510	35785	0.006664824	-0.118502733	1.98e-39	-0.531268867	21	417	85	11962	7.083420842	8.82e-11	4.130088024	11.66521346	[Clostridium] stercorarium	Clostridium maximum
3780	D006262	species	1510	35833	8.8e-08	-0.118337113	2.55e-131	-0.50393114	130	308	1594	10453	2.767558784	1.6e-18	2.221736018	3.432162354	[Clostridium] stercorarium	Bilophila wadsworthia
3781	D006262	species	1510	36745	7e-13	-0.202945886	1.92e-188	-0.709342786	72	366	790	11257	2.802577252	3.41e-12	2.12396958	3.657719132	[Clostridium] stercorarium	Clostridium saccharoperbutylacetonicum
3782	D006262	species	1510	36847	1.72e-14	-0.19271586	1.92e-185	-0.647112627	77	361	1119	10928	2.082866406	1.29e-07	1.594536901	2.692906276	[Clostridium] stercorarium	[Clostridium] neopropionicum
3783	D006262	species	1510	36874	0.005865483	-0.119419134	6.02e-46	-0.564140747	12	426	93	11954	3.619925496	0.000303969	1.791517977	6.695980011	[Clostridium] stercorarium	Porphyromonas cangingivalis
3784	D006262	species	1510	38986	0.020147054	-0.096382136	2.9799999999999998e-61	-0.613037951	29	409	143	11904	5.899790558	1.58e-12	3.768589582	8.968057	[Clostridium] stercorarium	Acholeplasma palmae
3785	D006262	species	1510	39484	1.9e-15	-0.139791355	3.84e-88	-0.341199987	208	230	2765	9282	3.035521681	3.84e-28	2.491965246	3.695920331	[Clostridium] stercorarium	Eubacterium desmolans
3786	D006262	species	1510	39485	0.000704681	-0.041072737	1.03e-18	-0.106821021	366	72	6362	5685	4.54176605	1.9199999999999998e-40	3.509763807	5.947741737	[Clostridium] stercorarium	[Eubacterium] eligens
3787	D006262	species	1510	39488	2.44e-08	-0.078347637	3.3199999999999997e-135	-0.337866958	192	246	4617	7430	1.255975707	0.021450793	1.030706166	1.528729537	[Clostridium] stercorarium	[Eubacterium] hallii
3788	D006262	species	1510	39490	1.17e-15	-0.150741548	2.03e-161	-0.480700313	116	322	2354	9693	1.483331498	0.000603291	1.183398512	1.848990489	[Clostridium] stercorarium	Eubacterium ramulus
3789	D006262	species	1510	39496	1.03e-10	-0.10657399	1.4299999999999999e-139	-0.398552774	159	279	3221	8826	1.561525622	1.82e-05	1.271603275	1.912415032	[Clostridium] stercorarium	Eubacterium ventriosum
3790	D006262	species	1510	39497	4.53e-14	-0.198466613	2.79e-101	-0.524873014	146	292	981	11066	5.638968932	5.529999999999999e-48	4.541039119	6.978030851	[Clostridium] stercorarium	Eubacterium xylanophilum
3791	D006262	species	1510	40518	1.01e-06	-0.0617386	4.29e-71	-0.222522502	299	139	5823	6224	2.299075326	1.4e-16	1.867577085	2.841279281	[Clostridium] stercorarium	Ruminococcus bromii
3792	D006262	species	1510	40519	7.57e-17	-0.138151892	2.89e-135	-0.395222799	189	249	3172	8875	2.123620451	1.03e-13	1.740557085	2.587654084	[Clostridium] stercorarium	Ruminococcus callidus
3793	D006262	species	1510	43131	0.003015086	-0.128732552	3.9500000000000003e-44	-0.55533414	12	426	91	11956	3.699888436	0.000253675	1.829865985	6.849724058	[Clostridium] stercorarium	Tissierella praeacuta
3794	D006262	species	1510	43143	0.040014456	-0.095789929	5e-10	-0.28471841	5	433	22	12025	6.309408061	0.002213024	1.857697938	17.17623122	[Clostridium] stercorarium	Tissierella creatinini
3795	D006262	species	1510	44742	0.007203261	-0.118287943	7.789999999999999e-23	-0.414803001	32	406	77	11970	12.24136751	2.8700000000000003e-21	7.747953513	18.97592489	[Clostridium] stercorarium	Desulfovibrio fairfieldensis
3796	D006262	species	1510	45851	1.73e-13	-0.213962479	2.4800000000000002e-200	-0.73814886	66	372	723	11324	2.778681372	3.29e-11	2.082669057	3.661193883	[Clostridium] stercorarium	Butyrivibrio crossotus
3797	D006262	species	1510	46503	0.000434259	-0.046837574	7.36e-83	-0.25267519	243	195	5201	6846	1.640195711	3.99e-07	1.34807457	1.997743023	[Clostridium] stercorarium	Parabacteroides merdae
3798	D006262	species	1510	46506	2.62e-09	-0.084212165	9.43e-114	-0.313081838	206	232	4545	7502	1.465527653	0.000110101	1.204402838	1.782421167	[Clostridium] stercorarium	Bacteroides stercoris
