	phenotype	taxonomy rank level	NCBI taxon id 1	NCBI taxon id 2	pvalue Pearson	correlation coefficient Pearson	pvalue Spearman	correlation coefficient Spearman	nr. co-occurred samples	nr. samples of taxon1 only	nr. samples of taxon2 only	nr. samples of none	Odds ratio (OR) Fisher test	pvalue Fisher test	OR confidence lower	OR confidence upper	scientific name taxon1	scientific name taxon2
778	D006262	genus	1485	33042	1.78e-14	-0.077400616	9.540000000000001e-224	-0.314680351	4234	3128	2419	2704	1.512965021	8.95e-30	1.407386524	1.626596727	Clostridium	Coprococcus
779	D006262	genus	1485	39948	4.7e-21	-0.098384607	0.0	-0.384496084	3335	4027	1755	3368	1.589223743	3.25e-35	1.47537474	1.712165948	Clostridium	Dialister
780	D006262	genus	1485	61170	6.39e-06	-0.051792649	9.920000000000001e-85	-0.221217431	423	6939	223	4900	1.339443468	0.000552322	1.131317298	1.589179693	Clostridium	Holdemania
781	D006262	genus	1485	84108	0.003704338	-0.033614513	1.9600000000000003e-21	-0.109806926	304	7058	91	5032	2.381544651	2.51e-14	1.872869914	3.052783473	Clostridium	Slackia
782	D006262	genus	1485	156973	0.007416953	0.031178062	0.001380293	-0.037243492	42	7320	12	5111	2.443609999	0.005119157	1.261473264	5.10363716	Clostridium	Dysgonomonas
783	D006262	genus	1485	158846	0.002146246	-0.035240574	1.36e-45	-0.161701158	478	6884	221	4902	1.540114313	1.62e-07	1.304686566	1.822381048	Clostridium	Megamonas
784	D006262	genus	1485	239759	3.92e-39	-0.124695625	8.6e-286	-0.335515175	5601	1761	3569	1554	1.384805921	2.05e-15	1.277147087	1.501607347	Clostridium	Alistipes
785	D006262	genus	1485	459786	4.31e-28	-0.109852708	3.03e-232	-0.31776759	4724	2638	2587	2536	1.755396663	2.3399999999999997e-52	1.631465304	1.888854844	Clostridium	Oscillibacter
786	D006262	genus	1485	577309	5.34e-13	-0.078421174	1.1900000000000001e-276	-0.372789918	1872	5490	1082	4041	1.273461173	2.29e-08	1.168603897	1.388206127	Clostridium	Paraprevotella
787	D006262	genus	1485	1279388	0.000741056	-0.038997199	4.39e-52	-0.174246603	379	6983	120	5003	2.262638577	5.03e-16	1.831787293	2.811053517	Clostridium	Kandleria
788	D006262	genus	1485	1573535	0.010083359	-0.029531706	1.74e-11	-0.077104296	1262	6100	228	4895	4.440915052	1.31e-114	3.834197948	5.161918395	Clostridium	Holdemanella
789	D006262	genus	1485	1649459	0.000750555	0.03923815	5.91e-07	0.058115644	96	7266	13	5110	5.192894716	2.79e-11	2.893161697	10.1165712	Clostridium	Hungatella
790	D006262	genus	1485	1849828	0.011721396	0.029371494	1.7e-08	0.06567206	32	7330	1	5122	22.35815372	9.01e-07	3.732105881	907.0011585	Clostridium	Paeniclostridium
1044	D006262	genus	2740	2745	0.00979889	-0.145331264	2.3199999999999997e-74	-0.809473474	8	144	163	12170	4.146890932	0.001158419	1.727775956	8.586158279	Peptococcus	Halomonas
1045	D006262	genus	2740	13334	0.003809264	-0.193889591	2.71e-36	-0.717843262	8	144	69	12264	9.86942214	4.15e-06	4.023556039	21.05939713	Peptococcus	Anaerobiospirillum
1046	D006262	genus	2740	13687	0.005378198	-0.170219463	2.9500000000000004e-56	-0.782531293	9	143	114	12219	6.742595051	1.87e-05	2.947404388	13.61348896	Peptococcus	Sphingomonas
1047	D006262	genus	2740	39948	0.000622165	-0.047587148	2.2899999999999998e-23	-0.137925218	75	77	5015	7318	1.421251125	0.037535256	1.018016454	1.983565407	Peptococcus	Dialister
1048	D006262	genus	2740	52225	0.000233788	-0.14439622	1.3800000000000001e-77	-0.646427211	14	138	493	11840	2.436148012	0.005322174	1.288218022	4.266880841	Peptococcus	Mitsuokella
1049	D006262	genus	2740	84108	6.89e-08	-0.230174994	6.04e-86	-0.717157606	10	142	385	11948	2.185291565	0.029942275	1.017522981	4.182011355	Peptococcus	Slackia
1050	D006262	genus	2740	86331	2.93e-06	-0.24258098	1.9799999999999998e-55	-0.703200892	20	132	211	12122	8.700153695	5.4e-12	5.04658318	14.32286718	Peptococcus	Mogibacterium
1051	D006262	genus	2740	100175	8.08e-11	-0.395358883	2.1600000000000002e-57	-0.800927035	5	147	99	12234	4.201707546	0.008774219	1.315767288	10.36267993	Peptococcus	Papillibacter
1052	D006262	genus	2740	117563	3.36e-07	-0.243323314	3.83e-85	-0.769394915	10	142	277	12056	3.06452158	0.00268419	1.422624866	5.887714803	Peptococcus	Granulicatella
1053	D006262	genus	2740	118747	0.002154672	-0.202194505	1.0500000000000001e-29	-0.6583661	16	136	76	12257	18.95180232	1.49e-14	10.04430283	33.88590886	Peptococcus	Bulleidia
1054	D006262	genus	2740	133925	0.000557472	-0.171827689	1.65e-69	-0.736308213	16	136	248	12085	5.73100664	1.33e-07	3.137155261	9.829850093	Peptococcus	Olsenella
1055	D006262	genus	2740	150022	0.021915076	-0.134782327	4.72e-57	-0.766168327	7	145	137	12196	4.296426593	0.001889177	1.666158766	9.320129236	Peptococcus	Finegoldia
1056	D006262	genus	2740	172900	8.6e-06	-0.243662342	9.02e-69	-0.782962855	11	141	174	12159	5.449811572	1.59e-05	2.611962858	10.29303547	Peptococcus	Victivallis
1057	D006262	genus	2740	184869	0.026995401	-0.140732545	1.59e-45	-0.748070773	6	146	95	12238	5.292323213	0.001445418	1.8645788	12.22746264	Peptococcus	Varibaculum
1058	D006262	genus	2740	195950	0.001270135	-0.220947453	1.39e-36	-0.732485057	4	148	58	12275	5.717888384	0.006816802	1.4882124	15.74376525	Peptococcus	Tannerella
1059	D006262	genus	2740	239759	0.013183196	-0.02585493	3.22e-06	-0.048543926	131	21	9039	3294	2.273213668	0.000195925	1.424156003	3.802159217	Peptococcus	Alistipes
1060	D006262	genus	2740	239934	0.001019009	-0.049623161	4.61e-29	-0.167912881	79	73	4228	8105	2.074458839	9.79e-06	1.486308678	2.89841599	Peptococcus	Akkermansia
1061	D006262	genus	2740	283168	1.8e-06	-0.064467786	3.75e-33	-0.161063263	101	51	5325	7008	2.606118467	1.24e-08	1.839520053	3.731988522	Peptococcus	Odoribacter
1062	D006262	genus	2740	423604	0.008849362	-0.193540918	3.14e-22	-0.638475053	4	148	30	12303	11.07463207	0.000737015	2.799911126	32.0020122	Peptococcus	Elusimicrobium
1063	D006262	genus	2740	459786	0.016459399	0.02803208	1.31e-05	0.050913867	142	10	7169	5164	10.22862403	2.15e-22	5.393953034	21.81086685	Peptococcus	Oscillibacter
1064	D006262	genus	2740	543311	0.014344344	-0.17291434	1.8900000000000002e-32	-0.713738626	3	149	48	12285	5.15214961	0.024067935	1.015111211	16.26754724	Peptococcus	Parvimonas
1065	D006262	genus	2740	577309	0.0003213	-0.065344442	2.11e-22	-0.175660933	79	73	2875	9458	3.559559775	5.09e-14	2.549049869	4.97700034	Peptococcus	Paraprevotella
1066	D006262	genus	2740	990721	0.000135012	-0.099261957	1.4800000000000002e-43	-0.349338828	50	102	1322	11011	4.082539639	2.93e-13	2.836096274	5.811976433	Peptococcus	Christensenella
1067	D006262	genus	2740	1236988	0.007661017	-0.186211632	5.68e-30	-0.688247288	6	146	52	12281	9.700356808	7.08e-05	3.351737827	23.06135919	Peptococcus	Geofilum
1068	D006262	genus	2740	1279388	0.018779577	-0.095832324	3.49e-23	-0.389293134	50	102	449	11884	12.96255596	1.1900000000000001e-32	8.933263515	18.62693332	Peptococcus	Kandleria
1069	D006262	genus	2740	1291539	0.002745871	-0.227020749	3.17e-14	-0.536831329	3	149	20	12313	12.38636101	0.00262037	2.332100827	42.401094	Peptococcus	Candidatus Methanomethylophilus
1070	D006262	genus	2740	1508657	0.029721288	0.028873997	3.11e-05	0.055299111	147	5	5516	6817	36.3576693	3.98e-44	15.20152214	113.0440766	Peptococcus	Ruminiclostridium
1071	D006262	genus	2740	1573534	0.002237607	-0.178515908	6.62e-57	-0.76387537	10	142	139	12194	6.175579775	1.37e-05	2.836888554	12.03653136	Peptococcus	Faecalitalea
1151	D006262	genus	33042	39948	1.29e-07	-0.056974033	1.87e-182	-0.303695869	3166	3487	1924	3908	1.844136051	6.18e-62	1.713632225	1.984842242	Coprococcus	Dialister
1152	D006262	genus	33042	41273	0.045913047	-0.02440651	1.73e-13	-0.089918048	84	6569	37	5795	2.002617026	0.000328793	1.342751925	3.038647002	Coprococcus	Tissierella
1153	D006262	genus	33042	44249	9.49e-06	-0.053663191	1.04e-52	-0.183713704	290	6363	150	5682	1.726337728	5.77e-08	1.407795667	2.123856559	Coprococcus	Paenibacillus
1154	D006262	genus	33042	52225	0.039747788	-0.024928576	3.9099999999999994e-23	-0.11967624	355	6298	152	5680	2.10622202	6.37e-15	1.730753474	2.572772515	Coprococcus	Mitsuokella
1155	D006262	genus	33042	86331	0.000885641	-0.040528039	7.02e-21	-0.113942093	158	6495	73	5759	1.919017479	2.77e-06	1.441745906	2.574534591	Coprococcus	Mogibacterium
1156	D006262	genus	33042	100175	0.000447635	-0.042953345	2.93e-15	-0.096411393	82	6571	22	5810	3.295158657	8.84e-08	2.034752773	5.550134601	Coprococcus	Papillibacter
1157	D006262	genus	33042	117563	0.000912807	-0.040311643	3.14e-29	-0.135853128	176	6477	111	5721	1.400474019	0.005867264	1.094996154	1.797295117	Coprococcus	Granulicatella
1158	D006262	genus	33042	133925	0.006682972	-0.033083067	2.57e-12	-0.085245854	197	6456	67	5765	2.625250551	8.39e-13	1.975378104	3.526201566	Coprococcus	Olsenella
1159	D006262	genus	33042	135858	3.68e-06	0.056378748	0.001307871	0.039167078	306	6347	79	5753	3.510346991	2.22e-27	2.725428289	4.566860259	Coprococcus	Catenibacterium
1160	D006262	genus	33042	158846	0.000739355	-0.040586062	7.58e-99	-0.249866042	442	6211	257	5575	1.543674581	5.37e-08	1.314912101	1.815117464	Coprococcus	Megamonas
1161	D006262	genus	33042	172900	0.00247873	-0.037006033	1.77e-16	-0.100511995	154	6499	31	5801	4.433626692	8.37e-18	2.993537789	6.761343549	Coprococcus	Victivallis
1162	D006262	genus	33042	244127	4.37e-10	-0.071692183	1.09e-106	-0.248419147	2603	4050	906	4926	3.494447703	6.170000000000001e-195	3.203257257	3.813822737	Coprococcus	Anaerotruncus
1163	D006262	genus	33042	253238	0.004107913	-0.035052775	8.1e-25	-0.125189797	109	6544	48	5784	2.00694685	4.96e-05	1.413891821	2.885961327	Coprococcus	Ethanoligenens
1164	D006262	genus	33042	442430	0.013635146	-0.030216016	4.16e-05	-0.050184908	92	6561	11	5821	7.41941184	4.55e-15	3.953710787	15.3961158	Coprococcus	Coraliomargarita
1165	D006262	genus	33042	447020	0.00746776	0.032532788	0.038617255	0.025154027	414	6239	108	5724	3.516279338	2.71e-36	2.829880508	4.401056146	Coprococcus	Adlercreutzia
1166	D006262	genus	33042	990721	3.5e-13	-0.087515335	8.95e-74	-0.21643199	1141	5512	231	5601	5.019206544	3.1e-133	4.331159589	5.834932634	Coprococcus	Christensenella
1167	D006262	genus	33042	1279388	0.00064153	-0.041536588	5.64e-18	-0.104887052	402	6251	97	5735	3.80158897	2.79e-38	3.029318713	4.810809564	Coprococcus	Kandleria
1168	D006262	genus	33042	1348911	0.025828446	-0.026954744	3.34e-20	-0.111030924	336	6317	184	5648	1.632626133	1.06e-07	1.35487835	1.97212061	Coprococcus	Coprobacter
1169	D006262	genus	33042	1505657	1e-08	-0.066267446	8.3099999999999995e-140	-0.285321361	1479	5174	811	5021	1.769646378	1.52e-33	1.609416849	1.946758247	Coprococcus	Intestinibacter
1170	D006262	genus	33042	1505663	2.83e-14	-0.084209096	3.69e-214	-0.336295714	2470	4183	1478	4354	1.73938278	1.11e-45	1.609140013	1.880639779	Coprococcus	Erysipelatoclostridium
1171	D006262	genus	33042	1506553	5.02e-22	-0.103553207	1.87e-219	-0.330701729	3570	3083	1983	3849	2.247460373	1.09e-108	2.089033143	2.418018672	Coprococcus	Lachnoclostridium
1172	D006262	genus	33042	1506577	0.000589714	-0.041430084	3.3999999999999997e-38	-0.154915304	570	6083	223	5609	2.35687154	2.37e-28	2.006407705	2.775719497	Coprococcus	Tyzzerella
1330	D006262	genus	44748	46255	0.008553964	-0.052172392	2.21e-64	-0.327094355	41	2388	110	9946	1.552342061	0.022277264	1.053977721	2.24780698	Sporobacter	Weissella
1331	D006262	genus	44748	52225	6.12e-09	-0.109719421	8.54e-164	-0.483740129	143	2286	364	9692	1.66552352	1.32e-06	1.355476828	2.037924674	Sporobacter	Mitsuokella
1332	D006262	genus	44748	84108	3.62e-07	-0.099263333	3.27e-50	-0.285331655	207	2222	188	9868	4.889029191	4.2e-50	3.971362171	6.021363552	Sporobacter	Slackia
1333	D006262	genus	44748	84111	1.53e-19	-0.147148509	0.0	-0.664093085	387	2042	1309	8747	1.266385702	0.000217262	1.116546163	1.434171652	Sporobacter	Eggerthella
1334	D006262	genus	44748	86331	0.011568775	-0.049908355	5.82e-44	-0.269909712	101	2328	130	9926	3.312180901	2.15e-17	2.517939149	4.346338493	Sporobacter	Mogibacterium
1335	D006262	genus	44748	133925	0.002228221	-0.060650441	3.4000000000000003e-29	-0.219924431	153	2276	111	9945	6.021652928	2.57e-44	4.664327104	7.793315651	Sporobacter	Olsenella
1336	D006262	genus	44748	160795	0.020073419	-0.046835972	2.42e-15	-0.158571889	17	2412	35	10021	2.0179106	0.02160315	1.058179283	3.70688391	Sporobacter	Ureibacillus
1337	D006262	genus	44748	165779	0.000846259	-0.065789517	5.43e-60	-0.314206631	54	2375	141	9915	1.598764825	0.004622763	1.142215582	2.210192615	Sporobacter	Anaerococcus
1338	D006262	genus	44748	172900	0.000439415	0.070950078	1.26e-08	0.114632556	163	2266	22	10034	32.81022995	3.1e-92	20.87850857	53.88005384	Sporobacter	Victivallis
1339	D006262	genus	44748	184869	0.004981414	-0.056170895	1.8e-25	-0.206542952	32	2397	69	9987	1.932041121	0.003377201	1.22609109	2.986673715	Sporobacter	Varibaculum
1340	D006262	genus	44748	239759	3.65e-11	-0.068561468	5.47e-20	-0.094739914	2302	127	6868	3188	8.410906076	1.29e-195	6.997366587	10.18616367	Sporobacter	Alistipes
1341	D006262	genus	44748	246875	0.015130537	-0.048904179	7.62e-19	-0.177166793	28	2401	38	10018	3.073904987	2.58e-05	1.813183585	5.154187665	Sporobacter	Algoriphagus
1342	D006262	genus	44748	283168	5.72e-25	-0.128920432	2.97e-287	-0.431892948	1498	931	3928	6128	2.51002102	7.38e-90	2.289341983	2.752777576	Sporobacter	Odoribacter
1343	D006262	genus	44748	375288	3.28e-13	-0.07391412	4.59e-65	-0.171839984	2243	186	7254	2802	4.657626492	1.25e-116	3.981958915	5.4728784	Sporobacter	Parabacteroides
