#cooccurred genus in D006262: Health; The state of the organism when it functions optimally without evidence of disease.																	
#in total 12485 valid runs were included in GMrepo.																	
#please consult our web site for more details.																	
phenotype	taxonomy rank level	NCBI taxon id 1	NCBI taxon id 2	pvalue Pearson	correlation coefficient Pearson	pvalue Spearman	correlation coefficient Spearman	nr. co-occurred samples	nr. samples of taxon1 only	nr. samples of taxon2 only	nr. samples of none	Odds ratio (OR) Fisher test	pvalue Fisher test	OR confidence lower	OR confidence upper	scientific name taxon1	scientific name taxon2
D006262	genus	237	32067	0.041004082	-0.156453351	8.93E-36	-0.776826985	5	100	66	12314	9.32364877	0.00032046	2.869776222	23.60664778	Flavobacterium	Leptotrichia
D006262	genus	237	44748	0.009894662	-0.051612199	1.65E-36	-0.248686072	37	68	2392	9988	2.271834163	0.000156798	1.475720342	3.449066114	Flavobacterium	Sporobacter
D006262	genus	237	49082	0.000130904	0.321019904	5.42E-18	-0.652834191	3	102	32	12348	11.34090301	0.003111297	2.187318577	37.15801376	Flavobacterium	Candidatus Arthromitus
D006262	genus	237	56112	0.049625676	-0.163349955	1.71E-22	-0.698059884	5	100	40	12340	15.41095654	3.58E-05	4.650143045	40.21453596	Flavobacterium	Dehalobacter
D006262	genus	237	86331	0.002686653	-0.16496994	3.66E-59	-0.743782583	7	98	224	12156	3.875509246	0.00332411	1.501132926	8.42173875	Flavobacterium	Mogibacterium
D006262	genus	237	123375	0.032009131	-0.169092937	8.20E-37	-0.798095546	3	102	56	12324	6.469959952	0.013365043	1.27467482	20.4315791	Flavobacterium	Solobacterium
D006262	genus	237	158846	0.039594414	-0.073143817	2.29E-66	-0.559254451	12	93	687	11693	2.195951157	0.016536465	1.089874413	4.04652331	Flavobacterium	Megamonas
D006262	genus	237	253238	7.26E-05	0.246326572	2.08E-42	-0.723273988	8	97	149	12231	6.766811351	5.20E-05	2.790620683	14.21652701	Flavobacterium	Ethanoligenens
D006262	genus	237	574697	0.005769827	-0.086593746	7.85E-16	-0.249187804	47	58	910	11470	10.20994354	3.07E-25	6.755322636	15.36135462	Flavobacterium	Butyricimonas
D006262	genus	237	762551	0.018071138	-0.169601114	3.44E-39	-0.769153651	8	97	89	12291	11.38279193	1.49E-06	4.638252183	24.29817312	Flavobacterium	Jejuia
D006262	genus	237	1164882	0.026978265	-0.180019152	9.01E-30	-0.76079799	4	101	46	12334	10.61015208	0.000808122	2.7234813	29.88265288	Flavobacterium	Lachnoanaerobaculum
D006262	genus	237	1573535	0.005660257	-0.069688367	7.55E-47	-0.350887312	20	85	1470	10910	1.746199105	0.032834944	1.012719187	2.878284874	Flavobacterium	Holdemanella
D006262	genus	265	830	0.003634126	-0.096422811	7.96E-47	-0.451570083	12	73	823	11577	2.312163811	0.013395322	1.137854228	4.310334423	Paracoccus	Butyrivibrio
D006262	genus	265	872	0.018719615	-0.05372182	3.16E-24	-0.229105698	28	57	1830	10570	2.836985167	2.34E-05	1.732348793	4.548249938	Paracoccus	Desulfovibrio
D006262	genus	265	904	0.045949783	-0.038564138	2.55E-18	-0.167545682	38	47	2594	9806	3.055991925	1.30E-06	1.934547387	4.800352994	Paracoccus	Acidaminococcus
D006262	genus	265	1243	0.010746528	-0.203075732	4.73E-41	-0.82950061	3	82	72	12328	6.261649939	0.014462872	1.236755009	19.68509693	Paracoccus	Leuconostoc
D006262	genus	265	1378	0.038051313	-0.129225904	2.80E-44	-0.730403353	6	79	173	12227	5.366082086	0.001369051	1.886045808	12.44299802	Paracoccus	Gemella
D006262	genus	265	1569	0.04316041	-0.185714984	7.79E-23	-0.751077712	2	83	34	12366	8.758934677	0.024845277	1.003392815	35.12117661	Paracoccus	Sporosarcina
D006262	genus	265	2316	0.025060459	-0.143425504	4.20E-48	-0.7647759	5	80	159	12241	4.810301777	0.005185075	1.500235755	11.93320723	Paracoccus	Methanosphaera
D006262	genus	265	2740	0.003192132	-0.194055501	3.84E-44	-0.758739765	8	77	144	12256	8.836780828	8.74E-06	3.616784449	18.75781547	Paracoccus	Peptococcus
D006262	genus	265	13687	1.56E-27	0.745739873	1.57E-06	0.382877673	60	25	63	12337	464.5664935	2.24E-107	266.8403909	842.0009631	Paracoccus	Sphingomonas
D006262	genus	265	32067	0.024487235	-0.183025159	5.39E-32	-0.778883184	5	80	66	12334	11.67096414	0.000118853	3.573956031	29.752239	Paracoccus	Leptotrichia
D006262	genus	265	33057	0.049655475	-0.188497757	1.41E-15	-0.671058793	2	83	24	12376	12.4152023	0.013390655	1.400017112	51.44993481	Paracoccus	Thauera
D006262	genus	265	44748	0.02148638	-0.0461982	1.38E-15	-0.159542978	37	48	2392	10008	3.224997076	5.32E-07	2.036978958	5.06899783	Paracoccus	Sporobacter
D006262	genus	265	52225	0.018910367	-0.097697093	2.10E-38	-0.503442989	15	70	492	11908	5.184949477	1.43E-06	2.736317741	9.226512045	Paracoccus	Mitsuokella
D006262	genus	265	86331	0.004438344	-0.161709528	6.88E-43	-0.6784976	8	77	223	12177	5.671352503	0.00017193	2.336039057	11.93783622	Paracoccus	Mogibacterium
D006262	genus	265	118747	0.02744178	-0.167200449	1.56E-42	-0.814551623	3	82	89	12311	5.059509731	0.024778552	1.003517608	15.7893212	Paracoccus	Bulleidia
D006262	genus	265	150022	0.047308298	-0.132390065	3.01E-51	-0.799405859	4	81	140	12260	4.323437387	0.016726026	1.134686599	11.74788432	Paracoccus	Finegoldia
D006262	genus	265	172900	0.01020141	-0.157862981	4.54E-46	-0.734786758	6	79	179	12221	5.183075116	0.001619951	1.82271282	12.01246444	Paracoccus	Victivallis
D006262	genus	265	504481	0.033918536	-0.193812191	6.52E-15	-0.635287962	13	72	35	12365	63.58896387	4.13E-18	29.58037349	129.4408376	Paracoccus	Sediminibacterium
D006262	genus	265	886360	0.03293549	-0.209351778	5.56E-12	-0.61117909	8	77	19	12381	67.47244861	6.59E-12	24.78250155	167.2622959	Paracoccus	Rudaea
D006262	genus	265	990721	0.009616836	-0.068214069	3.10E-38	-0.331321098	17	68	1355	11045	2.037693669	0.013436795	1.118959294	3.518904859	Paracoccus	Christensenella
D006262	genus	265	1505657	0.044069691	-0.041529173	2.96E-30	-0.23261338	24	61	2266	10134	1.759456803	0.023737214	1.046669518	2.871194904	Paracoccus	Intestinibacter
D006262	genus	270	2701	0.010244131	-0.173965492	4.59E-09	-0.3847065	5	15	197	12268	20.73181515	1.34E-05	5.837195383	60.7963092	Thermus	Gardnerella
D006262	genus	270	65551	1.31E-14	0.967392231	0.000226561	0.684246249	18	2	4	12461	11853.29871	1.66E-52	4201.025641	4.50E+15	Thermus	Meiothermus
D006262	genus	283	830	0.019275732	-0.078212214	6.13E-39	-0.416866953	12	60	823	11590	2.816294383	0.002751146	1.373360394	5.315252941	Comamonas	Butyrivibrio
D006262	genus	283	872	0.045539254	-0.04573666	1.52E-27	-0.245065181	18	54	1840	10573	1.915175265	0.028807809	1.054628509	3.326238465	Comamonas	Desulfovibrio
D006262	genus	283	1243	0.038423408	-0.172732168	8.80E-34	-0.803406666	3	69	72	12341	7.449050689	0.00923007	1.465762761	23.57715503	Comamonas	Leuconostoc
D006262	genus	283	2132	0.029591541	-0.073889949	2.43E-37	-0.414604678	12	60	795	11618	2.922364379	0.00207192	1.424871973	5.516623071	Comamonas	Spiroplasma
D006262	genus	283	41275	7.18E-06	0.374232504	4.14E-15	-0.608054741	12	60	64	12349	38.50466071	1.20E-14	17.98342559	76.79957569	Comamonas	Brevundimonas
D006262	genus	283	80865	0.000809009	0.30940229	2.79E-13	-0.616625682	10	62	42	12371	47.40109945	2.78E-13	20.26953846	101.3834574	Comamonas	Delftia
D006262	genus	283	100175	0.001283603	-0.242868354	2.08E-43	-0.820604564	3	69	101	12312	5.298991482	0.022118908	1.049335094	16.57961625	Comamonas	Papillibacter
D006262	genus	283	172900	0.030070416	-0.136411426	3.46E-49	-0.761566437	4	68	181	12232	3.974417603	0.021985695	1.041703047	10.82630676	Comamonas	Victivallis
D006262	genus	283	442430	0.017088553	-0.182177369	1.56E-39	-0.801202615	4	68	99	12314	7.313991989	0.002924599	1.90056683	20.17962063	Comamonas	Coraliomargarita
D006262	genus	283	574697	0.049811592	-0.062141719	5.45E-13	-0.225783532	32	40	925	11488	9.931870012	1.78E-17	6.008377917	16.29753785	Comamonas	Butyricimonas
D006262	genus	283	1573535	0.030981758	-0.054940666	3.70E-30	-0.284776321	20	52	1470	10943	2.862815997	0.000307725	1.614070471	4.893932325	Comamonas	Holdemanella
D006262	genus	286	482	0.021655444	-0.091261867	1.12E-82	-0.666943305	13	489	131	11852	2.404956119	0.007944286	1.238332489	4.296415993	Pseudomonas	Neisseria
D006262	genus	286	836	0.004187896	-0.099005462	6.09E-170	-0.777464559	33	469	333	11650	2.461339358	1.62E-05	1.646812576	3.574051804	Pseudomonas	Porphyromonas
D006262	genus	286	864	0.00102441	-0.108562717	3.17E-222	-0.819483071	28	474	410	11573	1.667315763	0.01760375	1.082255371	2.478131566	Pseudomonas	Pectinatus
D006262	genus	286	872	6.05E-10	-0.13002663	5.03E-206	-0.584270583	111	391	1747	10236	1.663266175	1.20E-05	1.326585071	2.072054475	Pseudomonas	Desulfovibrio
D006262	genus	286	904	6.95E-07	-0.090593173	5.43E-187	-0.497692744	143	359	2489	9494	1.519320573	6.91E-05	1.236474078	1.859158715	Pseudomonas	Acidaminococcus
D006262	genus	286	906	0.000146931	-0.091435769	2.47E-243	-0.690027652	67	435	1217	10766	1.362498804	0.024318773	1.030221756	1.778807893	Pseudomonas	Megasphaera
D006262	genus	286	1243	0.013670552	-0.103322367	1.07E-40	-0.519784713	8	494	67	11916	2.879757597	0.010270803	1.187879114	6.052012575	Pseudomonas	Leuconostoc
D006262	genus	286	1279	0.022824638	-0.065142743	1.28E-181	-0.701605003	74	428	719	11264	2.708197625	7.29E-12	2.063033451	3.516850529	Pseudomonas	Staphylococcus
D006262	genus	286	1350	0.021582767	-0.057546245	3.72E-239	-0.704289908	65	437	1092	10891	1.483402429	0.005775567	1.116707207	1.94437382	Pseudomonas	Enterococcus
D006262	genus	286	1357	0.036265997	-0.063519786	4.46E-225	-0.782074742	38	464	585	11398	1.595568853	0.0114741	1.103273203	2.249914393	Pseudomonas	Lactococcus
D006262	genus	286	1378	0.005538421	-0.107782774	4.44E-93	-0.685987403	20	482	159	11824	3.085188391	3.42E-05	1.818338808	4.979937161	Pseudomonas	Gemella
D006262	genus	286	1386	0.031977121	-0.055490602	5.00E-98	-0.506201364	145	357	992	10991	4.49928398	7.36E-39	3.64382425	5.534824996	Pseudomonas	Bacillus
D006262	genus	286	2147	0.001840969	-0.09615283	1.35E-206	-0.770517705	47	455	545	11438	2.167687488	7.82E-06	1.550935769	2.971576494	Pseudomonas	Acholeplasma
D006262	genus	286	32067	0.015791237	-0.101868701	1.11E-34	-0.486554965	12	490	59	11924	4.947386155	2.30E-05	2.404663139	9.380008483	Pseudomonas	Leptotrichia
D006262	genus	286	32207	0.008005168	-0.093638866	2.91E-176	-0.795837578	21	481	299	11684	1.705963704	0.028839213	1.030822157	2.686431826	Pseudomonas	Rothia
D006262	genus	286	44748	9.15E-05	-0.074195812	3.59E-127	-0.43294695	156	346	2273	9710	1.926033852	2.44E-10	1.575088626	2.346828667	Pseudomonas	Sporobacter
D006262	genus	286	52225	0.000138467	-0.12181029	8.10E-207	-0.787832088	35	467	472	11511	1.827750834	0.001687821	1.242282229	2.615663566	Pseudomonas	Mitsuokella
D006262	genus	286	86331	3.75E-05	-0.153306877	1.44E-136	-0.761128078	16	486	215	11768	1.801816995	0.039440555	1.003463906	3.024204164	Pseudomonas	Mogibacterium
D006262	genus	286	117563	0.00010071	-0.139774809	9.84E-151	-0.768247819	20	482	267	11716	1.820554695	0.014690767	1.084379548	2.900891154	Pseudomonas	Granulicatella
D006262	genus	286	118747	0.012387352	-0.103432437	4.02E-56	-0.590300582	10	492	82	11901	2.949438893	0.003790649	1.355073266	5.748473324	Pseudomonas	Bulleidia
D006262	genus	286	133925	0.005101773	-0.102436864	1.73E-144	-0.76528543	20	482	244	11739	1.99614437	0.006309005	1.187157181	3.186098551	Pseudomonas	Olsenella
D006262	genus	286	150022	0.015134109	-0.096668195	9.83E-83	-0.667886785	15	487	129	11854	2.829939442	0.000680005	1.527468851	4.889356986	Pseudomonas	Finegoldia
D006262	genus	286	165779	0.017003937	-0.092455276	2.17E-86	-0.665449787	31	471	164	11819	4.741979316	4.52E-11	3.086570701	7.082556481	Pseudomonas	Anaerococcus
D006262	genus	286	172900	0.002278108	-0.117869452	8.59E-92	-0.679906716	19	483	166	11817	2.799926653	0.000165914	1.629711477	4.560027006	Pseudomonas	Victivallis
D006262	genus	286	239934	1.65E-05	-0.063606529	6.08E-130	-0.347261593	229	273	4078	7905	1.626014421	1.57E-07	1.35245499	1.953497036	Pseudomonas	Akkermansia
D006262	genus	286	1279388	1.93E-05	-0.137086941	3.82E-205	-0.788087954	36	466	463	11520	1.922038231	0.000651694	1.312906971	2.73995795	Pseudomonas	Kandleria
D006262	genus	286	1505663	0.000492318	-0.053584868	1.01E-107	-0.329722654	224	278	3724	8259	1.786801388	5.25E-10	1.485318841	2.147867431	Pseudomonas	Erysipelatoclostridium
D006262	genus	286	1508657	1.46E-05	-0.05665654	1.95E-60	-0.212063464	318	184	5345	6638	2.146229166	1.88E-16	1.777565708	2.597315093	Pseudomonas	Ruminiclostridium
D006262	genus	286	1573534	0.0138388	-0.097484131	8.09E-83	-0.665816894	14	488	135	11848	2.517424412	0.002713333	1.330376764	4.413347033	Pseudomonas	Faecalitalea
D006262	genus	286	1822464	0.042652037	-0.088846635	1.28E-14	-0.329043375	19	483	19	11964	24.74648708	3.78E-17	12.30948538	49.76218057	Pseudomonas	Paraburkholderia
D006262	genus	374	482	0.022875697	-0.155513527	1.33E-33	-0.705997211	10	70	134	12271	13.07240297	2.52E-08	5.877488336	26.21296112	Bradyrhizobium	Neisseria
D006262	genus	374	836	0.027156952	-0.10544848	8.19E-44	-0.59740402	7	73	359	12046	3.216968139	0.008921393	1.240596722	7.037312144	Bradyrhizobium	Porphyromonas
D006262	genus	374	864	0.03458283	-0.094061113	1.10E-34	-0.509319628	13	67	425	11980	5.467624065	3.78E-06	2.746798093	10.0918363	Bradyrhizobium	Pectinatus
D006262	genus	374	904	0.003010427	-0.057243245	4.73E-25	-0.197670837	28	52	2604	9801	2.026615017	0.003637593	1.229724608	3.275675204	Bradyrhizobium	Acidaminococcus
D006262	genus	374	1378	0.014744583	-0.154698998	1.44E-35	-0.684078322	11	69	168	12237	11.60171938	1.72E-08	5.437142697	22.59014527	Bradyrhizobium	Gemella
D006262	genus	374	1380	0.005302423	-0.182491377	7.54E-42	-0.742170185	6	74	152	12253	6.533393982	0.000518769	2.287652589	15.22619208	Bradyrhizobium	Atopobium
D006262	genus	374	1569	0.009372755	-0.242370546	6.96E-24	-0.773084264	2	78	34	12371	9.324885777	0.022189863	1.067024315	37.44841417	Bradyrhizobium	Sporosarcina
D006262	genus	374	29393	0.044524942	-0.201380046	6.01E-15	-0.681489848	9	71	20	12385	78.18789825	1.03E-13	30.27647578	186.9314566	Bradyrhizobium	Dolosigranulum
D006262	genus	374	32067	0.003015733	-0.24303804	1.87E-37	-0.823106402	4	76	67	12338	9.684565577	0.001096581	2.501951777	26.9969132	Bradyrhizobium	Leptotrichia
D006262	genus	374	33057	0.011308547	-0.248686474	7.10E-15	-0.67273457	3	77	23	12382	20.95580861	0.000592282	3.944798099	71.42109502	Bradyrhizobium	Thauera
D006262	genus	374	52784	0.001109809	-0.153078044	1.15E-46	-0.606577587	7	73	371	12034	3.109840352	0.010540463	1.199569487	6.801772313	Bradyrhizobium	Anaerofilum
D006262	genus	374	68287	7.12E-14	0.699080646	0.000449695	0.370266767	36	44	6	12399	1672.083026	4.93E-77	665.6509145	8192	Bradyrhizobium	Mesorhizobium
D006262	genus	374	133925	0.019535245	-0.126971655	4.78E-45	-0.668072786	6	74	258	12147	3.816750003	0.006877075	1.344662547	8.823141247	Bradyrhizobium	Olsenella
D006262	genus	374	1505657	0.002360838	-0.062869031	2.43E-25	-0.212817087	33	47	2257	10148	3.156636633	1.60E-06	1.954354526	5.045126578	Bradyrhizobium	Intestinibacter
D006262	genus	407	1243	0.032895014	-0.217965454	3.07E-16	-0.71427773	2	21	73	12389	16.14565283	0.008302327	1.803107325	68.13611873	Methylobacterium	Leuconostoc
D006262	genus	407	68287	0.004375	0.385391614	0.008951417	-0.355702826	12	11	30	12432	442.8366834	4.90E-25	166.0259591	1248.124988	Methylobacterium	Mesorhizobium
D006262	genus	407	75309	0.033288088	-0.295733712	1.07E-10	-0.75434201	2	21	29	12433	40.73976792	0.001461316	4.430635881	179.5061401	Methylobacterium	Rhodanobacter
D006262	genus	407	886360	0.031298528	-0.328864791	8.76E-06	-0.62126655	7	16	20	12442	269.9139384	2.27E-14	84.31279005	800.2696577	Methylobacterium	Rudaea
D006262	genus	407	1822464	0.032720093	-0.278452108	1.83E-12	-0.764546324	2	21	36	12426	32.79995538	0.002192017	3.598727641	142.4201748	Methylobacterium	Paraburkholderia
D006262	genus	469	906	0.033426424	-0.055725941	6.21E-79	-0.464687987	80	173	1204	11028	4.235066503	4.69E-21	3.185553048	5.590878448	Acinetobacter	Megasphaera
D006262	genus	469	52225	0.019579144	-0.086620993	5.58E-95	-0.667964673	34	219	473	11759	3.859072304	7.18E-10	2.575625944	5.63060352	Acinetobacter	Mitsuokella
D006262	genus	469	59732	1.69E-06	0.294538149	0.001327028	0.199970577	33	220	2	12230	901.848635	8.96E-55	230.2819717	8192	Acinetobacter	Chryseobacterium
D006262	genus	469	1508657	0.001071194	-0.043000784	1.56E-59	-0.211576485	132	121	5531	6701	1.321635267	0.029998969	1.022086948	1.710220006	Acinetobacter	Ruminiclostridium
D006262	genus	475	1716	0.033078327	0.106057161	5.54E-10	0.302296302	59	16	329	12081	134.8633435	6.97E-76	75.61949185	253.6550218	Moraxella	Corynebacterium
D006262	genus	475	182639	6.20E-05	0.403008868	1.05E-09	-0.580737077	2	73	18	12392	18.83781619	0.006307834	2.082948543	81.015048	Moraxella	Kribbella
